Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Score),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Level),Custom field (Test Steps),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
BS59 - Verify booking status complete,PS-296,10435,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,15/Jul/24 3:31 PM,15/Jul/24 3:45 PM,15/Jul/24 3:57 PM,15/Jul/24 3:45 PM,,0,,Verify booking status complete,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-236,,,,,,,,,,,,,,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;1.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10341,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;2.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10340,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;3.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10336,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;4.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10337,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;5.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10338,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;6.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10342,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;7.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10339,15/Jul/24 3:39 PM;712020:def5c1c0-06da-4df7-a0c5-da91aeadc572;8.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10335,,,"Message ""Xác nhận hoàn thành"" and status is changed ""Hoàn thành""",,,,,,,{},,,,,,,"Message ""Xác nhận hoàn thành"" and status is changed ""Hoàn thành""",,,,,,,0|i002nz:,,,,,PS Sprint 3,,,,,,,,,,Unit,,"1. Login with username ""new"" and password ""123456""
2. At avatar of user, click on it and clik ""Lịch sử đặt hàng"" after that
3. At service ""dv4"", click ""Xem chi tiết""
4. Click ""Xác nhận hoàn thành"" to verify booking status complete
5. Click ""Có"" to accept completed",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_825709,,,Done,15/Jul/24 3:45 PM
BS58-Verify booking status,PS-295,10434,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,15/Jul/24 3:29 PM,15/Jul/24 3:40 PM,15/Jul/24 3:31 PM,,,0,,The booking status will change to “NEED_CONFIRM” when the booking time has passed.,,Duong Thanh Thoai (K17 HCM),712020:d3fdaee1-a731-44bf-9602-daee1d498329,,,,,,,,,,,,,PS-236,,,,,,,,,,,,,,15/Jul/24 3:40 PM;712020:d3fdaee1-a731-44bf-9602-daee1d498329;ok.jpg;https://thangnt.atlassian.net/rest/api/3/attachment/content/10343,,,,,,,,,,Order status has changed to Need Confirm,,,,,,,{},,,,,,,Order status has changed to Need Confirm,,,,,,,0|i002nr:,,,,,PS Sprint 3,,,,,,,,,,Unit,,"1.Login with:
username: thoaiduong
password: 908133
2.Click to avatar and choose ""Lịch sử đặt hàng"" 
3.Select orders with time past current time",Pass,,,,,,,,To Do,15/Jul/24 3:29 PM
CAS72 - Create failure when there is no authority,PS-294,10433,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,15/Jul/24 3:20 PM,15/Jul/24 3:21 PM,15/Jul/24 3:57 PM,,,0,,,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,PS-230,,,,,,,,,,,,,,15/Jul/24 3:21 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-082126.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10331,15/Jul/24 3:21 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-082143.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10332,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i002nj:,,,,,PS Sprint 4,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,Pass,,,,,,,,To Do,15/Jul/24 3:20 PM
CAS71 - Creation fails when username already exists.,PS-293,10432,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,15/Jul/24 2:24 PM,15/Jul/24 3:22 PM,15/Jul/24 3:57 PM,,,0,,Creation fails when username already exists.,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,PS-230,,,,,,,,,,,,,,15/Jul/24 3:22 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-082213.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10333,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i002nb:,,,,,PS Sprint 4,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,Pass,,,,,,,,To Do,15/Jul/24 2:24 PM
CAS70 - Create failed with existing email.,PS-292,10431,Bug,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,15/Jul/24 2:12 PM,15/Jul/24 3:23 PM,15/Jul/24 3:57 PM,,,0,,Create an account with an existing email,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,PS-230,,,,,,,,,,,,,,15/Jul/24 3:23 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-082308.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10334,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i002n3:,,,,,PS Sprint 4,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,,Fail,,,,,,,,To Do,15/Jul/24 2:12 PM
DA69: Account deletion failed when account is in use,PS-291,10430,Bug,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,15/Jul/24 1:52 PM,15/Jul/24 2:07 PM,15/Jul/24 3:57 PM,15/Jul/24 2:07 PM,,0,,Test to ensure that the system does not allow the deletion of an account if it is currently in use or associated with ongoing transactions or active sessions.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,PS-109,,,,,,,,,,,,,,15/Jul/24 2:07 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;admin.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10321,15/Jul/24 2:07 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;delete.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10322,15/Jul/24 2:07 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;delêtd shopthang.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10320,15/Jul/24 2:07 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;shopthang.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10323,15/Jul/24 2:07 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;taikhoanshop.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10324,,,,,,Shopthang account is still deleted while in use,,,,,,,{},,,,,,,"The system should prevent the deletion of the account and display an appropriate error message indicating that the account is currently in use.
The account should remain active and all associated data should remain intact.
The system should log the deletion attempt and its failure for audit purposes.",,,,,,,0|i002mv:,,,,,,,,,,,,,,,Unit,,"1. login shop account
account: shopthang
passs: 123456
2. open orther tab and login admin
account: admin
pass: 123456
3. Click ""tài khoản""
4. Click ""xoá"" shopthang",Fail,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_923436,,,Done,15/Jul/24 2:07 PM
DA68: Account deletion failed without authorization,PS-290,10429,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,15/Jul/24 1:51 PM,15/Jul/24 3:16 PM,15/Jul/24 3:57 PM,15/Jul/24 3:12 PM,,0,,Test to ensure that the system does not allow unauthorized users to delete an account and displays an appropriate error message.,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,PS-109,,,,,,,,,,,,,,15/Jul/24 3:12 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;2.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10327,15/Jul/24 3:12 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;449840110_1404909264233862_7222941258180441851_n.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10326,15/Jul/24 3:16 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;449889470_7829221727125685_2231002024991436273_n.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10330,15/Jul/24 3:12 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;lgin.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10328,15/Jul/24 3:12 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;shopthang.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10329,,,,,,,,,,,,,{},,,,,,,,,,,,,,0|i002mn:,,,,,,,,,,,,,,,Unit,,"1. Open Postman
2. Create token hoangto/ 123456
3. Paste API deleted account ",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_4890137,,,Done,15/Jul/24 3:12 PM
DA67: Successful account deletion with existing account,PS-289,10428,Testcase,Done,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,Done,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,15/Jul/24 1:51 PM,15/Jul/24 2:01 PM,15/Jul/24 3:57 PM,15/Jul/24 1:57 PM,,0,,Test to verify that the system allows for the successful deletion of an existing user account and that all related data is removed from the system,,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,,,,,,,,,,,,PS-109,,,,,,,,,,,,,,15/Jul/24 2:01 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;admin.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10317,15/Jul/24 2:01 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;delete.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10318,15/Jul/24 2:01 PM;712020:adc501f2-387b-4840-90d6-24549c140a6b;taikhoanshop.PNG;https://thangnt.atlassian.net/rest/api/3/attachment/content/10319,,,,,,,,The account has been successfully deleted,,,,,,,{},,,,,,,"The system should display a confirmation message indicating that the account has been successfully deleted.
The deleted account should no longer be able to log in to the application.
All data related to the deleted account should be removed from the database.",,,,,,,0|i002mf:,,,,,,,,,,,,,,,Unit,,"1. login with account role admin
acccount: admin
pass: 123456
2. Click ""tài khoản shop""
3. Click account need deleted.
4. Click ""xoá""",Pass,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_359494,,,Done,15/Jul/24 1:57 PM
DSI42-The total number of bookings will be increased when there are new bookings,PS-288,10427,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,15/Jul/24 1:23 PM,15/Jul/24 1:45 PM,15/Jul/24 3:57 PM,,,0,,Describes the change in the total number of bookings when a user orders the shop's services,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,PS-210,,,,,,,,,,,,,,15/Jul/24 1:45 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-064536.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10316,,,,,,,,,,Actual results will see a change in the total number of bookings,,,,,,,{},,,,,,,The desired result will be to see a change in the total number of bookings,,,,,,,0|i002m7:,,,,,PS Sprint 2,,,,,,,24297686-4906-40b0-a79e-64e3f68d5c6e,N1_NET1804,,,,"- Step1: Login account user: 
   + username: sinh12345
   + password: sinh12345
- Step2: Choose to order shopnew's service
  + service name: ""Dịch Vụ Tắm""
- Step3: Click button book service and enter information booking
- Step4: Login account with role shop:
  + username: Shoper
  + password: 123456
- Check to see if there has been a change in quantity
  ",Pass,,,,,,,,To Do,15/Jul/24 1:23 PM
DSI41 - On the shop information page: the total number of services will be increased when creating a new service and decreased when deleting a service.,PS-287,10426,Testcase,To Do,PS,N1_NET1804_PETSPA,software,Nguyen Thanh Thang (K17 HCM),712020:adc501f2-387b-4840-90d6-24549c140a6b,,Medium,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,15/Jul/24 1:06 PM,15/Jul/24 1:22 PM,15/Jul/24 3:57 PM,,,0,,Describes increasing and decreasing the number of services when adding or removing,,Trương Lê Minh Nghĩa,712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee,,,,,,,,,,,,,PS-210,,,,,,,,,,,,,,15/Jul/24 1:22 PM;712020:7c822e00-0fe9-4a90-a91d-6f3db3b6d5ee;image-20240715-062158.png;https://thangnt.atlassian.net/rest/api/3/attachment/content/10315,,,,,,,,,,Actual results will vary in service quantity,,,,,,,{},,,,,,,The desired result will be to change the number of services,,,,,,,0|i002lz:,,,,,PS Sprint 2,,,,,,,,,,,,"- Step1:  Login account role shop
   + username: Shoper
   + password: 123456
- Step2: Navigate to the services page, click button create new service
- Step3: Enter service information
    + name: Tắm Thú Cưng
    + Category service: Dịch vụ tắm rửa
    + Price service: 1000
    + Weight max: 99
    + Weight min: 2
    + Description: Chăm sóc
- Step4: Click button ""Tạo mới""
- Step5: Check if the new service is available in the service, and return to the home page to see if the number of services has been updated.
- Step6: Navigate to the services page, click button delete service
   + chosse service name to delete ""Tắm Thú Cưng""
- Go back to step 5",Pass,,,,,,,,To Do,15/Jul/24 1:06 PM
